id,curId,ts,buyDiffBps,sellDiffBps,cexVol,serverBuy,serverSell,dexVolume,rejectReason,serverId,diff_ts,token
1,BASE_aave_706e,1759136287473,16,-27,2204671.0,,,,,base,2025-09-29 08:58:07.473000+00:00,aave
23,BASE_aave_706e,1759136299414,16,-26,2205548.0,,,,,base,2025-09-29 08:58:19.414000+00:00,aave
67,BASE_aave_706e,1759136311525,16,-26,2202354.0,,,,,base,2025-09-29 08:58:31.525000+00:00,aave
146,BASE_aave_706e,1759136318112,15,-25,2202354.0,,,,,base,2025-09-29 08:58:38.112000+00:00,aave
147,BASE_aave_706e,1759136323406,16,-25,2203263.0,,,,,base,2025-09-29 08:58:43.406000+00:00,aave
181,BASE_aave_706e,1759136333488,16,-25,2205193.0,,,,,base,2025-09-29 08:58:53.488000+00:00,aave
231,BASE_aave_706e,1759136343567,16,-26,2206417.0,,,,,base,2025-09-29 08:59:03.567000+00:00,aave
263,BASE_aave_706e,1759136347150,15,-25,2206417.0,,,,,base,2025-09-29 08:59:07.150000+00:00,aave
264,BASE_aave_706e,1759136347187,13,-23,2206417.0,,,,,base,2025-09-29 08:59:07.187000+00:00,aave
265,BASE_aave_706e,1759136349745,14,-26,2206417.0,,,,,base,2025-09-29 08:59:09.745000+00:00,aave
266,BASE_aave_706e,1759136353495,11,-22,2206417.0,,,,,base,2025-09-29 08:59:13.495000+00:00,aave
267,BASE_aave_706e,1759136355621,13,-22,2216135.0,,,,,base,2025-09-29 08:59:15.621000+00:00,aave
305,BASE_aave_706e,1759136361606,11,-21,2216135.0,,,,,base,2025-09-29 08:59:21.606000+00:00,aave
306,BASE_aave_706e,1759136363641,14,-21,2216135.0,,,,,base,2025-09-29 08:59:23.641000+00:00,aave
307,BASE_aave_706e,1759136367565,16,-21,2217843.0,,,,,base,2025-09-29 08:59:27.565000+00:00,aave
345,BASE_aave_706e,1759136370991,14,-19,2217843.0,,,,,base,2025-09-29 08:59:30.991000+00:00,aave
346,BASE_aave_706e,1759136371591,15,-20,2217843.0,,,,,base,2025-09-29 08:59:31.591000+00:00,aave
347,BASE_aave_706e,1759136373687,16,-20,2217843.0,,,,,base,2025-09-29 08:59:33.687000+00:00,aave
348,BASE_aave_706e,1759136377107,17,-22,2217843.0,,,,,base,2025-09-29 08:59:37.107000+00:00,aave
349,BASE_aave_706e,1759136379394,17,-23,2217932.0,,,,,base,2025-09-29 08:59:39.394000+00:00,aave
371,BASE_aave_706e,1759136381494,18,-23,2217932.0,,,,,base,2025-09-29 08:59:41.494000+00:00,aave
372,BASE_aave_706e,1759136389616,20,-23,2218395.0,,,,,base,2025-09-29 08:59:49.616000+00:00,aave
432,BASE_aave_706e,1759136399772,20,-26,2218501.0,,,,,base,2025-09-29 08:59:59.772000+00:00,aave
469,BASE_aave_706e,1759136401818,21,-26,2218501.0,,,,,base,2025-09-29 09:00:01.818000+00:00,aave
470,BASE_aave_706e,1759136407945,19,-24,2218501.0,,,,,base,2025-09-29 09:00:07.945000+00:00,aave
471,BASE_aave_706e,1759136411975,19,-24,2221272.0,,,,,base,2025-09-29 09:00:11.975000+00:00,aave
